Customer ID,Status,Points,Number of Flights (prev year),"Flight Value (EUR, prev year)",Country,Age,Enrollment Date,Point Redemption (prev year),"Ancillary Revenue (EUR, prev year)"
1028,Base,424,5,22329,Canada,43,2000-08-24,101,2475
1029,Base,322,49,27561,Germany,20,2000-09-02,36,2999
1030,Base,17,31,38518,Germany,70,2000-09-11,1,4550
1031,Senator,1787,17,17815,Germany,31,2000-09-20,610,2645
1032,Base,460,26,1794,Germany,29,2000-09-28,118,3910
1033,Frequent Traveller,537,4,1452,Germany,78,2000-10-07,295,4369
1034,Senator,1527,19,6379,Netherlands,46,2000-10-16,1140,4332
1035,Frequent Traveller,806,5,9213,Germany,26,2000-10-25,287,4424
1036,Frequent Traveller,899,17,35308,UK,19,2000-11-03,128,338
1037,Senator,2398,3,12072,Spain,20,2000-11-11,1158,238
1038,Base,14,14,14354,UK,28,2000-11-20,7,3018
1039,Senator,1044,30,28167,Italy,79,2000-11-29,150,4078
1040,Base,264,9,8671,USA,19,2000-12-08,155,4641
1041,Base,389,17,6607,Canada,29,2000-12-16,184,1740
1042,Base,472,23,18523,Switzerland,46,2000-12-25,391,3673
1043,Base,261,37,34346,Switzerland,51,2001-01-03,130,4568
1044,Senator,1859,10,31970,Germany,61,2001-01-12,1572,1976
1045,Base,477,13,32834,Netherlands,36,2001-01-21,292,61
1046,Base,188,15,15406,Spain,27,2001-01-29,130,1216
1047,Base,182,7,22315,USA,49,2001-02-07,147,81
1048,Frequent Traveller,743,40,31752,Italy,71,2001-02-16,539,549
1049,Frequent Traveller,742,32,9258,Germany,24,2001-02-25,488,379
1050,Senator,2318,5,11424,Switzerland,39,2001-03-05,1196,3524
1051,Frequent Traveller,681,34,10163,Switzerland,30,2001-03-14,425,3978
1052,Senator,3313,49,23879,Germany,57,2001-03-23,439,329
1053,Senator,2844,16,22691,UK,26,2001-04-01,1820,4964
1054,Base,146,6,20849,Germany,62,2001-04-10,106,3043
1055,Senator,4325,11,24073,Switzerland,34,2001-04-18,3697,2582
1056,Base,355,19,37445,Germany,73,2001-04-27,345,2737
1057,Frequent Traveller,746,10,35902,France,77,2001-05-06,494,2790
1058,Frequent Traveller,959,24,23404,France,43,2001-05-15,10,3677
1059,Base,193,46,6355,Netherlands,41,2001-05-23,71,2864
1060,Base,93,10,38186,Switzerland,55,2001-06-01,7,997
1061,Senator,1733,13,10811,Spain,18,2001-06-10,1494,402
1062,Base,94,48,2164,Netherlands,71,2001-06-19,78,2579
1063,Base,462,20,21127,Canada,20,2001-06-27,413,4338
1064,Base,92,9,29582,Switzerland,33,2001-07-06,90,1231
1065,Base,235,43,3659,USA,77,2001-07-15,45,4611
1066,Frequent Traveller,973,6,9225,Italy,39,2001-07-24,348,416
1067,Base,458,23,1158,USA,27,2001-08-02,307,2521
1068,HON Circle Member,17900,36,4467,USA,31,2001-08-10,17809,649
1069,Frequent Traveller,731,21,31714,UK,70,2001-08-19,564,1126
1070,Senator,3999,32,10940,Canada,75,2001-08-28,1517,1833
1071,Frequent Traveller,774,6,19234,Spain,22,2001-09-06,394,3843
1072,Base,339,16,34939,Spain,48,2001-09-14,117,3589
1073,Base,77,48,35241,Germany,55,2001-09-23,68,3427
1074,Base,276,37,28300,Spain,47,2001-10-02,269,271
1075,Senator,4383,47,2530,Switzerland,66,2001-10-11,1411,538
1076,HON Circle Member,18335,21,9448,UK,46,2001-10-20,5240,2736
1077,Senator,1083,25,12877,France,43,2001-10-28,839,2145
1078,Frequent Traveller,862,9,13537,Netherlands,67,2001-11-06,287,1924
1079,Frequent Traveller,870,3,18876,Switzerland,63,2001-11-15,712,3555
1080,Frequent Traveller,892,44,31501,Italy,77,2001-11-24,271,2169
1081,Frequent Traveller,877,27,28572,Germany,52,2001-12-02,405,3342
1082,Base,330,30,2004,France,71,2001-12-11,214,219
1083,Frequent Traveller,995,17,27077,Italy,57,2001-12-20,352,725
1084,HON Circle Member,8511,21,24250,Canada,56,2001-12-29,2828,2814
1085,Frequent Traveller,775,45,9200,Switzerland,78,2002-01-06,631,2635
1086,Senator,2161,17,39253,Italy,55,2002-01-15,45,135
1087,Senator,1845,10,20867,France,75,2002-01-24,1219,467
1088,Senator,3261,9,292,Spain,32,2002-02-02,666,2021
1089,Base,383,45,3974,USA,39,2002-02-11,49,1993
1090,Base,77,49,5089,France,39,2002-02-19,5,1616
1091,Senator,3416,43,36887,Spain,56,2002-02-28,2252,3690
1092,Base,19,13,398,USA,20,2002-03-09,18,302
1093,Frequent Traveller,941,16,11681,France,55,2002-03-18,344,2529
1094,Senator,2196,11,6743,Germany,30,2002-03-26,9,1506
1095,Base,126,20,22274,Germany,70,2002-04-04,14,1260
1096,Base,460,32,22440,Switzerland,69,2002-04-13,256,1944
1097,Base,370,18,35754,Canada,49,2002-04-22,108,1484
1098,Frequent Traveller,611,49,38905,Spain,65,2002-05-01,28,102
1099,Frequent Traveller,500,15,5998,Canada,18,2002-05-09,29,1655
1100,Frequent Traveller,613,14,9668,USA,69,2002-05-18,586,4129
1101,Base,375,16,16972,UK,36,2002-05-27,255,116
1102,Senator,4850,9,20949,France,60,2002-06-05,4813,4155
1103,Base,454,13,39126,Italy,56,2002-06-13,333,3146
1104,Senator,1029,49,9363,Switzerland,42,2002-06-22,90,1544
1105,Senator,1013,36,18855,Italy,42,2002-07-01,650,4126
1106,Base,187,32,37115,Netherlands,66,2002-07-10,146,2912
1107,HON Circle Member,6354,13,13860,UK,56,2002-07-19,1854,2720
1108,Frequent Traveller,673,34,26113,USA,49,2002-07-27,38,468
1109,Frequent Traveller,832,35,29318,France,59,2002-08-05,534,146
1110,Base,383,39,27740,Netherlands,45,2002-08-14,285,2874
1111,Base,305,33,6124,USA,28,2002-08-23,296,1408
1112,Base,199,16,3589,Netherlands,77,2002-08-31,85,3194
1113,Frequent Traveller,740,22,36673,France,23,2002-09-09,364,3702
1114,Senator,1908,18,37304,France,35,2002-09-18,813,2602
1115,Base,459,26,29386,Netherlands,77,2002-09-27,362,2055
1116,Base,346,11,34558,Netherlands,25,2002-10-05,241,1834
1117,Senator,4516,13,36964,USA,44,2002-10-14,2152,739
1118,HON Circle Member,14472,5,37603,Canada,38,2002-10-23,1353,1602
1119,Frequent Traveller,638,38,38842,UK,20,2002-11-01,459,673
1120,Frequent Traveller,798,10,7833,Netherlands,66,2002-11-10,204,2701
1121,Frequent Traveller,644,3,11192,Germany,72,2002-11-18,296,3264
1122,Senator,4540,6,8156,Netherlands,38,2002-11-27,905,2700
1123,Base,323,41,24645,Switzerland,66,2002-12-06,249,3080
1124,Frequent Traveller,616,44,16813,Germany,34,2002-12-15,476,3454
1125,Base,35,16,23642,Italy,34,2002-12-23,7,2650
1126,Frequent Traveller,859,42,7009,Canada,29,2003-01-01,215,4842
1127,Senator,2357,13,12834,Spain,79,2003-01-10,126,4376
1128,Base,467,43,18982,UK,60,2003-01-19,406,4847
1129,Senator,2544,5,18066,France,56,2003-01-28,1375,4617
1130,Base,395,2,32092,Spain,54,2003-02-05,164,153
1131,Frequent Traveller,945,35,27216,Italy,78,2003-02-14,913,4375
1132,Senator,2327,46,25770,UK,60,2003-02-23,43,499
1133,Base,279,46,31588,France,25,2003-03-04,219,1726
1134,Base,403,20,12414,Canada,51,2003-03-12,286,2515
1135,Frequent Traveller,838,22,14243,Germany,46,2003-03-21,271,1380
1136,Base,218,13,15557,Switzerland,22,2003-03-30,145,1639
1137,Base,444,48,17881,France,31,2003-04-08,370,2930
1138,Base,46,12,20997,Canada,50,2003-04-17,2,2456
1139,Base,223,30,30420,Netherlands,61,2003-04-25,80,3610
1140,Frequent Traveller,937,9,37055,Spain,28,2003-05-04,703,4078
1141,Base,256,11,31982,Italy,26,2003-05-13,141,781
1142,Base,19,42,30265,USA,75,2003-05-22,17,4957
1143,HON Circle Member,16726,31,8102,Spain,40,2003-05-30,1607,923
1144,Frequent Traveller,802,21,21682,France,39,2003-06-08,272,1516
1145,Base,347,14,34341,USA,34,2003-06-17,224,1767
1146,Base,289,24,18334,Spain,44,2003-06-26,202,1955
1147,Senator,3144,40,31795,Spain,33,2003-07-04,1257,421
1148,Frequent Traveller,911,24,3415,Italy,75,2003-07-13,229,966
1149,Frequent Traveller,807,2,12096,Italy,41,2003-07-22,449,754
1150,Base,492,29,35207,UK,29,2003-07-31,365,3877
1151,Base,357,5,38620,Switzerland,54,2003-08-09,306,389
1152,Senator,1975,45,35642,Canada,65,2003-08-17,1060,1686
1153,Frequent Traveller,768,35,11442,USA,78,2003-08-26,600,2862
1154,Senator,2997,44,28719,Switzerland,29,2003-09-04,227,2094
1155,Base,39,6,16061,Switzerland,41,2003-09-13,34,1693
1156,Frequent Traveller,997,43,28554,UK,79,2003-09-21,842,1879
1157,Base,377,8,29302,Italy,30,2003-09-30,17,4584
1158,Frequent Traveller,690,9,39309,Italy,66,2003-10-09,521,1729
1159,Frequent Traveller,708,21,38527,USA,31,2003-10-18,334,2419
1160,Base,323,29,28136,Canada,31,2003-10-27,145,2532
1161,Frequent Traveller,970,2,35331,Canada,21,2003-11-04,519,2045
1162,Senator,3283,31,16823,Switzerland,24,2003-11-13,3031,1560
1163,Frequent Traveller,955,43,25542,Spain,18,2003-11-22,184,105
1164,Frequent Traveller,728,12,24967,France,67,2003-12-01,617,4320
1165,Base,204,46,30814,Canada,71,2003-12-09,165,1171
1166,Base,216,23,16898,Canada,29,2003-12-18,81,2918
1167,Base,415,9,7247,Switzerland,59,2003-12-27,209,2254
1168,Frequent Traveller,631,22,5768,Italy,45,2004-01-05,52,537
1169,Frequent Traveller,965,15,8166,Netherlands,35,2004-01-13,636,33
1170,Frequent Traveller,933,46,32377,Germany,62,2004-01-22,99,1398
1171,Base,467,45,20237,Germany,30,2004-01-31,312,1306
1172,Frequent Traveller,683,19,13136,Spain,70,2004-02-09,563,4801
1173,HON Circle Member,14137,48,26146,USA,35,2004-02-18,12162,3618
1174,Base,199,33,39677,UK,64,2004-02-26,145,1828
1175,Senator,3546,43,7151,France,51,2004-03-06,1175,1450
1176,Base,153,32,4361,UK,69,2004-03-15,31,3590
1177,Frequent Traveller,708,8,17692,Switzerland,38,2004-03-24,168,749
1178,Base,214,23,8315,Spain,30,2004-04-01,1,1636
1179,Frequent Traveller,785,40,28812,USA,68,2004-04-10,175,55
1180,Base,376,35,37550,France,44,2004-04-19,44,3829
1181,Base,60,41,2019,Switzerland,18,2004-04-28,5,156
1182,Frequent Traveller,880,36,24645,USA,49,2004-05-07,775,3851
1183,Senator,3224,22,5886,USA,45,2004-05-15,3115,832
1184,Frequent Traveller,851,9,24139,Italy,70,2004-05-24,124,1628
1185,Base,397,48,22257,France,79,2004-06-02,308,4416
1186,Senator,4351,3,28233,Germany,54,2004-06-11,1922,4211
1187,Base,168,19,867,Germany,49,2004-06-19,144,4146
1188,Base,431,48,28793,Switzerland,44,2004-06-28,205,529
1189,Base,171,12,32819,France,50,2004-07-07,125,3707
1190,Frequent Traveller,554,48,8919,USA,25,2004-07-16,508,1747
1191,Base,445,37,20469,France,33,2004-07-25,216,4744
1192,Frequent Traveller,899,43,33341,Spain,34,2004-08-02,621,1922
1193,Senator,1725,28,15461,Italy,20,2004-08-11,1083,3312
1194,Base,437,29,21226,Italy,63,2004-08-20,108,3605
1195,Base,429,43,19094,France,72,2004-08-29,97,1073
1196,Senator,3115,22,37466,Spain,56,2004-09-06,2665,1907
1197,Base,65,23,6616,UK,19,2004-09-15,16,1071
1198,Frequent Traveller,626,34,14442,Germany,65,2004-09-24,209,142
1199,Base,497,31,3497,Switzerland,46,2004-10-03,360,2645
1200,Frequent Traveller,947,12,37425,USA,35,2004-10-11,57,3280
1201,Senator,3367,47,23180,Switzerland,20,2004-10-20,1905,2265
1202,Base,128,31,27197,Spain,50,2004-10-29,32,4079
1203,Base,37,14,7185,Germany,52,2004-11-07,9,3115
1204,Base,435,24,2706,France,23,2004-11-16,158,2489
1205,Base,376,1,23923,Canada,77,2004-11-24,170,3046
1206,Senator,2524,1,732,Canada,57,2004-12-03,395,4799
1207,Base,355,26,34447,Switzerland,59,2004-12-12,315,1488
1208,Base,303,25,19417,Netherlands,43,2004-12-21,261,1664
1209,Base,409,46,15724,France,77,2004-12-29,387,4195
1210,Base,44,25,21367,Italy,36,2005-01-07,7,2333
1211,Frequent Traveller,788,24,12902,Switzerland,18,2005-01-16,176,3767
1212,Base,361,32,15400,Canada,66,2005-01-25,31,1904
1213,Base,161,11,24758,Netherlands,50,2005-02-03,128,2221
1214,Base,415,24,25453,Switzerland,73,2005-02-11,206,1312
1215,Senator,4440,26,7570,USA,24,2005-02-20,4306,972
1216,Frequent Traveller,780,27,38270,Italy,38,2005-03-01,243,2361
1217,Base,66,1,19804,France,54,2005-03-10,33,2815
1218,Base,100,32,15922,Canada,62,2005-03-18,82,1238
1219,Frequent Traveller,688,48,20528,Italy,21,2005-03-27,24,98
1220,Base,279,20,25057,UK,35,2005-04-05,190,633
1221,Senator,2984,1,14934,Germany,71,2005-04-14,2926,2156
1222,Frequent Traveller,809,7,5075,Netherlands,18,2005-04-23,222,3689
1223,Senator,4159,9,28448,Spain,35,2005-05-01,2915,1361
1224,Base,123,38,22525,UK,62,2005-05-10,16,1738
1225,Base,208,42,29764,Italy,75,2005-05-19,100,4462
1226,Senator,2530,45,6589,Canada,47,2005-05-28,1667,2385
1227,Frequent Traveller,607,19,25807,USA,39,2005-06-05,373,647
1228,Base,499,5,33921,Netherlands,49,2005-06-14,465,4900
1229,Base,441,34,209,France,52,2005-06-23,88,1440
1230,Senator,4652,35,5692,Spain,47,2005-07-02,3913,4920
1231,Base,307,9,7165,USA,27,2005-07-10,201,3340
1232,Senator,4421,32,23130,UK,51,2005-07-19,2561,3435
1233,Senator,1815,42,35084,Switzerland,76,2005-07-28,1560,3279
1234,Senator,3073,46,4995,Canada,41,2005-08-06,1118,441
1235,Base,125,4,33400,France,49,2005-08-15,31,3295
1236,HON Circle Member,7443,17,7112,UK,74,2005-08-23,11,2159
1237,Base,168,12,19995,Canada,63,2005-09-01,122,4210
1238,Frequent Traveller,797,45,17255,Spain,44,2005-09-10,272,4932
1239,Senator,2830,2,1370,Spain,43,2005-09-19,1526,4454
1240,Base,284,13,17815,Spain,42,2005-09-27,257,4393
1241,Senator,1417,32,25950,Netherlands,38,2005-10-06,1022,3734
1242,Base,123,47,15954,Netherlands,56,2005-10-15,115,713
1243,Frequent Traveller,707,15,31699,Netherlands,54,2005-10-24,508,1695
1244,Base,147,13,18976,Italy,59,2005-11-02,75,932
1245,Base,101,34,9126,Spain,54,2005-11-10,6,1433
1246,Senator,3405,26,17901,Italy,78,2005-11-19,2690,957
1247,Base,226,17,19338,USA,79,2005-11-28,180,852
1248,Base,452,1,22400,Spain,65,2005-12-07,40,4326
1249,Frequent Traveller,651,33,34366,Germany,34,2005-12-15,144,3628
1250,Frequent Traveller,716,12,10123,UK,71,2005-12-24,407,480
1251,Base,204,4,3123,Netherlands,55,2006-01-02,70,233
1252,Base,394,4,13627,Canada,52,2006-01-11,2,3844
1253,Frequent Traveller,747,16,39978,Germany,34,2006-01-19,438,492
1254,Base,376,16,6185,UK,34,2006-01-28,31,2912
1255,Frequent Traveller,929,41,38143,France,73,2006-02-06,388,3106
1256,Frequent Traveller,515,3,37826,France,39,2006-02-15,185,1284
1257,Base,318,21,24014,USA,78,2006-02-24,299,4424
1258,Frequent Traveller,705,29,22932,UK,77,2006-03-04,439,2946
1259,Base,197,26,16226,Italy,19,2006-03-13,116,1721
1260,Base,136,47,18977,Switzerland,60,2006-03-22,49,1087
1261,Frequent Traveller,828,6,19861,Netherlands,33,2006-03-31,188,1516
1262,Base,313,23,21104,Germany,48,2006-04-08,55,1066
1263,Base,408,44,1023,Netherlands,76,2006-04-17,164,2464
1264,Base,323,4,27278,Canada,65,2006-04-26,217,2892
1265,Frequent Traveller,900,44,38277,Canada,61,2006-05-05,303,4730
1266,Base,41,35,35156,UK,20,2006-05-14,5,2381
1267,Frequent Traveller,915,37,36965,Italy,69,2006-05-22,161,702
1268,Base,88,41,39188,Germany,31,2006-05-31,67,1509
1269,Base,342,22,6375,USA,45,2006-06-09,144,564
1270,Base,184,27,35650,Spain,41,2006-06-18,37,4992
1271,Senator,3859,32,17125,France,26,2006-06-26,1444,1369
1272,Base,9,10,1182,USA,74,2006-07-05,1,3402
1273,Senator,4433,3,14057,Italy,38,2006-07-14,1906,210
1274,Frequent Traveller,790,28,3778,Switzerland,54,2006-07-23,471,246
1275,Base,68,47,29014,France,37,2006-08-01,53,4579
1276,Senator,1378,37,5322,USA,68,2006-08-09,1106,3061
1277,Base,484,31,34676,Netherlands,45,2006-08-18,345,1928
1278,Base,50,5,31524,Canada,37,2006-08-27,2,3529
1279,Base,3,27,35359,Spain,40,2006-09-05,2,462
1280,Base,11,8,37972,Switzerland,40,2006-09-13,3,4616
1281,Frequent Traveller,782,48,39167,Netherlands,54,2006-09-22,250,673
1282,Base,494,35,1105,Germany,68,2006-10-01,288,3599
1283,Senator,3390,6,9075,USA,55,2006-10-10,3028,2900
1284,Frequent Traveller,634,46,37321,Italy,56,2006-10-18,568,2076
1285,Frequent Traveller,690,44,34227,Spain,48,2006-10-27,141,4325
1286,Frequent Traveller,933,37,2924,Canada,30,2006-11-05,49,3462
1287,Base,88,12,26050,Netherlands,42,2006-11-14,28,4112
1288,Base,40,34,28258,Switzerland,67,2006-11-23,10,2577
1289,Frequent Traveller,742,5,25214,UK,71,2006-12-01,385,2888
1290,Senator,4727,31,39344,Spain,27,2006-12-10,4006,390
1291,Base,396,49,6873,Netherlands,51,2006-12-19,160,2604
1292,Base,1,18,19958,UK,65,2006-12-28,1,3952
1293,Frequent Traveller,995,24,34877,Spain,27,2007-01-05,231,1767
1294,Base,183,28,31646,Switzerland,72,2007-01-14,99,1001
1295,Base,85,43,1942,USA,27,2007-01-23,65,700
1296,Base,124,7,12242,Switzerland,64,2007-02-01,119,3799
1297,Base,270,35,15673,Netherlands,75,2007-02-10,18,4593
1298,Senator,4369,35,39130,Canada,58,2007-02-18,3143,1190
1299,HON Circle Member,14572,41,13538,USA,39,2007-02-27,503,2466
1300,Base,329,7,2056,Germany,37,2007-03-08,279,3655
1301,Frequent Traveller,984,23,9840,Spain,47,2007-03-17,670,1504
1302,Frequent Traveller,514,12,37876,Netherlands,77,2007-03-25,110,84
1303,Base,113,13,19069,Canada,74,2007-04-03,79,790
1304,Frequent Traveller,584,32,5265,Spain,38,2007-04-12,571,1925
1305,Base,33,20,31796,USA,37,2007-04-21,20,4886
1306,Base,314,3,5125,France,38,2007-04-30,23,1779
1307,Base,424,38,26769,Spain,21,2007-05-08,64,1432
1308,Senator,4753,42,34369,France,77,2007-05-17,3082,4680
1309,Base,363,2,27434,Italy,68,2007-05-26,322,4408
1310,Frequent Traveller,576,15,18802,Italy,28,2007-06-04,559,564
1311,Frequent Traveller,611,8,39412,Spain,26,2007-06-12,418,1018
1312,Base,115,29,25002,Germany,60,2007-06-21,40,2157
1313,Base,44,27,33193,USA,31,2007-06-30,2,3142
1314,Senator,1255,4,127,Netherlands,20,2007-07-09,549,4840
1315,Base,275,37,24025,Switzerland,77,2007-07-17,47,491
1316,Senator,2566,7,13627,UK,59,2007-07-26,1977,352
1317,Base,27,6,31784,Switzerland,57,2007-08-04,27,3346
1318,Senator,4958,32,12740,UK,51,2007-08-13,1580,2959
1319,Base,414,45,11056,Italy,45,2007-08-22,231,584
1320,Base,26,23,16626,Italy,20,2007-08-30,8,2712
1321,Senator,3881,21,30163,Switzerland,79,2007-09-08,344,653
1322,Base,411,48,2223,Netherlands,37,2007-09-17,253,199
1323,Base,493,5,34924,Italy,53,2007-09-26,280,3605
1324,Base,268,29,21537,Germany,42,2007-10-04,221,3824
1325,Base,45,7,23042,Netherlands,48,2007-10-13,31,742
1326,Base,40,25,37303,France,23,2007-10-22,24,4790
1327,Frequent Traveller,640,33,34798,France,28,2007-10-31,130,3703
1328,Base,216,20,13536,Germany,68,2007-11-09,131,4998
1329,Base,247,13,32480,Italy,79,2007-11-17,28,4484
1330,Frequent Traveller,765,47,32653,France,75,2007-11-26,755,2939
1331,Frequent Traveller,910,13,38532,Canada,69,2007-12-05,542,2992
1332,Frequent Traveller,873,43,4096,Netherlands,78,2007-12-14,137,3913
1333,Base,185,32,3420,Canada,73,2007-12-22,183,3849
1334,Frequent Traveller,793,47,22350,Switzerland,54,2007-12-31,246,1246
1335,Senator,4299,14,6120,Netherlands,51,2008-01-09,2372,1661
1336,Base,342,7,32221,Netherlands,77,2008-01-18,131,4782
1337,Frequent Traveller,853,36,18942,Italy,77,2008-01-26,687,2080
1338,Base,85,44,39642,Canada,48,2008-02-04,53,4458
1339,Base,246,37,38238,Switzerland,70,2008-02-13,79,3341
1340,Base,486,33,11674,Switzerland,51,2008-02-22,306,4246
1341,Base,348,33,13743,Germany,73,2008-03-02,134,753
1342,Frequent Traveller,940,44,24738,Netherlands,58,2008-03-10,268,898
1343,Senator,1376,21,2215,Switzerland,71,2008-03-19,414,3608
1344,Base,239,22,29290,USA,18,2008-03-28,228,2891
1345,Senator,2079,23,5028,USA,33,2008-04-06,1225,4233
1346,Frequent Traveller,591,47,29576,Netherlands,57,2008-04-14,273,4776
1347,Base,110,30,17112,Canada,46,2008-04-23,97,655
1348,Senator,4548,39,15145,Germany,48,2008-05-02,4216,1986
1349,Frequent Traveller,711,20,29393,Canada,18,2008-05-11,462,2889
1350,Frequent Traveller,945,36,10935,Spain,31,2008-05-20,675,3268
1351,Frequent Traveller,945,42,9099,Spain,27,2008-05-28,824,3466
1352,Base,405,3,9796,Germany,68,2008-06-06,276,4640
1353,Frequent Traveller,821,9,10694,Netherlands,73,2008-06-15,299,3229
1354,Base,77,32,34511,Germany,74,2008-06-24,57,3640
1355,Frequent Traveller,964,24,36296,Canada,27,2008-07-02,461,3080
1356,Base,383,29,35253,Germany,57,2008-07-11,48,3326
1357,Frequent Traveller,866,18,30166,France,68,2008-07-20,59,4989
1358,Base,36,31,35462,Spain,27,2008-07-29,26,633
1359,Base,266,37,22729,France,31,2008-08-07,67,3997
1360,Frequent Traveller,642,13,12685,Italy,52,2008-08-15,222,1727
1361,Frequent Traveller,849,41,4254,UK,45,2008-08-24,667,4570
1362,Base,344,4,21932,Italy,32,2008-09-02,259,3842
1363,Base,426,36,20702,UK,51,2008-09-11,358,298
1364,Base,142,28,1922,USA,57,2008-09-19,87,3038
1365,HON Circle Member,19038,15,26707,UK,66,2008-09-28,1604,3600
1366,Base,224,6,572,Italy,72,2008-10-07,109,3961
1367,Senator,3567,49,9022,Italy,41,2008-10-16,1311,4704
1368,Base,61,3,28286,Canada,40,2008-10-24,60,2940
1369,Senator,1263,19,37959,USA,29,2008-11-02,188,2922
1370,Base,6,18,5137,Switzerland,54,2008-11-11,5,2881
1371,Base,382,8,10958,USA,73,2008-11-20,362,769
1372,Base,43,30,4154,UK,69,2008-11-29,1,2398
1373,Base,196,4,20187,Netherlands,78,2008-12-07,63,1052
1374,Frequent Traveller,729,3,13917,USA,55,2008-12-16,714,3749
1375,Frequent Traveller,992,23,28201,Germany,35,2008-12-25,531,1989
1376,Base,225,18,13876,Germany,78,2009-01-03,163,3477
1377,Base,492,21,23280,France,48,2009-01-11,80,3394
1378,Senator,2095,38,22611,France,73,2009-01-20,1389,4776
1379,Frequent Traveller,635,21,9788,Germany,69,2009-01-29,359,1039
1380,Base,480,8,5787,Netherlands,39,2009-02-07,279,3229
1381,Base,156,42,33908,France,22,2009-02-16,79,3140
1382,Base,364,12,1393,USA,27,2009-02-24,323,155
1383,Frequent Traveller,986,13,15625,Switzerland,53,2009-03-05,90,2189
1384,Frequent Traveller,571,14,10059,UK,40,2009-03-14,54,2049
1385,Frequent Traveller,988,44,29735,Switzerland,69,2009-03-23,138,3086
1386,Base,8,11,16794,USA,77,2009-03-31,4,2483
1387,Base,495,16,2679,USA,56,2009-04-09,27,738
1388,Base,211,44,363,Switzerland,73,2009-04-18,108,3348
1389,Senator,4570,39,8585,Germany,56,2009-04-27,581,3887
1390,Frequent Traveller,995,14,35310,Germany,47,2009-05-05,866,342
1391,Frequent Traveller,643,8,9927,Spain,71,2009-05-14,315,4911
1392,Base,376,30,24874,Spain,71,2009-05-23,165,2766
1393,Frequent Traveller,711,27,33632,Canada,68,2009-06-01,594,2317
1394,Base,98,7,18084,Germany,79,2009-06-10,93,1037
1395,Base,480,32,39639,France,29,2009-06-18,61,1235
1396,Senator,2591,25,13283,USA,27,2009-06-27,1067,3857
1397,Senator,3154,4,10653,Germany,76,2009-07-06,93,2760
1398,Base,271,36,7269,Switzerland,22,2009-07-15,247,4337
1399,Base,480,20,32005,Netherlands,31,2009-07-23,111,3625
1400,Base,110,39,33802,Switzerland,27,2009-08-01,62,3427
1401,Base,253,8,15034,Switzerland,37,2009-08-10,57,3878
1402,Base,201,16,278,Switzerland,71,2009-08-19,60,230
1403,Base,315,49,13627,Canada,76,2009-08-28,164,1748
1404,Frequent Traveller,858,28,10106,France,25,2009-09-05,74,4995
1405,Base,373,12,7785,Spain,28,2009-09-14,279,4773
1406,Base,59,3,21912,Italy,21,2009-09-23,29,2391
1407,Base,138,11,18298,USA,67,2009-10-02,11,1131
1408,Senator,2967,9,32457,UK,77,2009-10-10,2141,2608
1409,Frequent Traveller,992,40,20015,Canada,68,2009-10-19,221,3573
1410,Senator,1279,15,8429,Germany,78,2009-10-28,147,1208
1411,Base,285,3,2930,Netherlands,33,2009-11-06,60,4143
1412,Base,412,25,6456,Italy,62,2009-11-15,191,3275
1413,HON Circle Member,12250,16,16100,UK,58,2009-11-23,11812,434
1414,Senator,4312,38,16423,Spain,58,2009-12-02,2859,469
1415,Frequent Traveller,971,6,2964,Italy,32,2009-12-11,713,637
1416,Base,295,36,18124,Netherlands,61,2009-12-20,248,572
